SQL> exec assignJobTitlesAndSalaries
Sathe                     assistant                120000                       
Schulman                  assistant                120000                       
Shapiro                   manager                  600000                       
Sher                      secretary                800000                       
Siegel                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Stephens                  assistant                120000                       
Sutton                    supervisor               500000                       
Anello                    manager                  600000                       
Bates                     director                 100000                       
Chaifetz                  director                 100000                       
Clarke                    director                 100000                       
Crutchfield               secretary                800000                       
Ealons                    supervisor               500000                       
Farrell                   director                 100000                       
Groth                     supervisor               500000                       
Heimbach                  secretary                800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kennedy                   assistant                120000                       
Lewis                     manager                  600000                       
Liddell-Westefeld         manager                  600000                       
London                    supervisor               500000                       
Maher                     manager                  600000                       
Monje, Jr.                assistant                120000                       
Nicholson, Jr.            manager                  600000                       
Oleske                    manager                  600000                       
Terry                     assistant                120000                       
Wear                      advisor                  130000                       
Yeager Kaplan             supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Young, Jr.                assistant                120000                       
Reed                      secretary                800000                       
Ryan                      assistant                120000                       
Sass                      director                 100000                       
Schwartz                  assistant                120000                       
Singiser                  advisor                  130000                       
Starkey                   manager                  600000                       
Tamarin                   director                 100000                       
Agnew                     assistant                120000                       
Beliveau                  secretary                800000                       
Brennan                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Carrier                   manager                  600000                       
Cizner                    supervisor               500000                       
Cokley                    supervisor               500000                       
Deese                     director                 100000                       
Donilon                   director                 100000                       
Dorsett                   director                 100000                       
Frank                     manager                  600000                       
Frankel                   director                 100000                       
Gonzalez                  assistant                120000                       
Hoang                     secretary                800000                       
Inouye                    secretary                800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kelleher, Jr.             manager                  600000                       
Lynn                      supervisor               500000                       
McCarthy                  supervisor               500000                       
McGinnis                  director                 100000                       
Mosteller                 director                 100000                       
Murtha                    supervisor               500000                       
Papas                     assistant                120000                       
Paulsen                   director                 100000                       
Turton                    assistant                120000                       
Voorman                   director                 100000                       
Wright                    supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Pope                      advisor                  130000                       
Sutphen                   secretary                800000                       
Belive                    director                 100000                       
Brundage                  supervisor               500000                       
Brush                     assistant                120000                       
Chen                      director                 100000                       
Corrigan                  manager                  600000                       
Davies                    assistant                120000                       
Edgerton                  assistant                120000                       
Eisen                     supervisor               500000                       
Favreau                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Gomez                     supervisor               500000                       
Gottry                    secretary                800000                       
Green                     supervisor               500000                       
Hughes                    director                 100000                       
Juska                     supervisor               500000                       
Kimball                   secretary                800000                       
Kravis                    director                 100000                       
LaBolt                    secretary                800000                       
Lewin                     assistant                120000                       
Lovett                    director                 100000                       
Massey                    supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
McDonough                 supervisor               500000                       
Miranda                   assistant                120000                       
Mu??oz                    advisor                  130000                       
Odio                      assistant                120000                       
Zichal                    supervisor               500000                       
Posey                     manager                  600000                       
Richardson                manager                  600000                       
Ruemmler                  director                 100000                       
Schmuck                   manager                  600000                       
Skoczek                   director                 100000                       
Ayling                    manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Binns                     manager                  600000                       
Bond                      assistant                120000                       
Branch                    supervisor               500000                       
Brown                     manager                  600000                       
Carter                    advisor                  130000                       
Cohen                     secretary                800000                       
Dunn                      manager                  600000                       
Emanuel                   secretary                800000                       
Greene                    supervisor               500000                       
Hegde                     manager                  600000                       
Hiatt                     assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kochman                   secretary                800000                       
Koo                       advisor                  130000                       
Lartey                    director                 100000                       
Lelyveld                  secretary                800000                       
Lezotte                   assistant                120000                       
Lillie                    manager                  600000                       
Naidoff                   assistant                120000                       
Oxtoby                    secretary                800000                       
Pipkins                   manager                  600000                       
Tranchin                  manager                  600000                       
Valencia                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Wade                      supervisor               500000                       
Samuels, Jr.              manager                  600000                       
Smoot                     supervisor               500000                       
Stoev                     supervisor               500000                       
Summers                   assistant                120000                       
Teehee                    manager                  600000                       
Aldy, Jr.                 secretary                800000                       
Anderson                  secretary                800000                       
Beinart                   supervisor               500000                       
Blake                     manager                  600000                       
Coven                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Cunningham                supervisor               500000                       
DeRosa                    director                 100000                       
Finlen                    director                 100000                       
Ford                      assistant                120000                       
Hanson                    director                 100000                       
Hash                      supervisor               500000                       
Jackson                   secretary                800000                       
Jarvis-Shean              manager                  600000                       
Jean-Pierre               manager                  600000                       
Kale                      supervisor               500000                       
Kelly                     manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Love                      advisor                  130000                       
McGrath                   secretary                800000                       
Mrazek                    manager                  600000                       
Neralla                   advisor                  130000                       
Papa                      assistant                120000                       
Phadke                    assistant                120000                       
Terrell                   supervisor               500000                       
Watkins                   manager                  600000                       
Webster                   secretary                800000                       
Zelman                    director                 100000                       
Rivadeneira               manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Rosalsky                  director                 100000                       
Sabochik                  assistant                120000                       
Schiliro                  director                 100000                       
Sheehy                    advisor                  130000                       
Swire                     supervisor               500000                       
Bassin                    assistant                120000                       
Burman                    manager                  600000                       
Carden                    advisor                  130000                       
DuBois                    supervisor               500000                       
Earnest                   director                 100000                       
Garcia                    supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hennigan                  manager                  600000                       
Hornsby                   director                 100000                       
Jamison                   director                 100000                       
King                      manager                  600000                       
Kramer                    director                 100000                       
Lepow                     manager                  600000                       
Markovitz                 assistant                120000                       
McBride                   director                 100000                       
Monteiro                  advisor                  130000                       
Neiman                    manager                  600000                       
Offerman                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Olmos                     supervisor               500000                       
Ortiz                     director                 100000                       
Thorbjornsen              supervisor               500000                       
Tucci                     assistant                120000                       
Wang-Levine               manager                  600000                       
Rathod                    supervisor               500000                       
Santucci                  secretary                800000                       
Schaub                    director                 100000                       
Sinha                     manager                  600000                       
Abrams                    director                 100000                       
Attili                    assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Bernard                   director                 100000                       
Burton                    manager                  600000                       
Castillo                  supervisor               500000                       
Conrad                    supervisor               500000                       
Cusack                    assistant                120000                       
DeParle                   assistant                120000                       
Donovan                   supervisor               500000                       
Fernkas                   assistant                120000                       
Freeman                   assistant                120000                       
Godfrey                   director                 100000                       
Greenawalt                advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jones                     director                 100000                       
Kumar                     director                 100000                       
Ledbetter                 advisor                  130000                       
Lesser                    supervisor               500000                       
McCathran                 secretary                800000                       
Millison                  manager                  600000                       
Moilanen                  manager                  600000                       
Nelson                    assistant                120000                       
Thomas, III               assistant                120000                       
Walsh                     manager                  600000                       
Whichard, IV              director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Roberts                   manager                  600000                       
Rundlet                   manager                  600000                       
Setser                    supervisor               500000                       
Sobel                     assistant                120000                       
Stracko                   supervisor               500000                       
Amorsingh                 manager                  600000                       
Andrias                   manager                  600000                       
Baggetto                  director                 100000                       
Bisi                      assistant                120000                       
Block                     director                 100000                       
Blount                    assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Brooke                    secretary                800000                       
Burnough                  supervisor               500000                       
Canery                    advisor                  130000                       
Cushman                   manager                  600000                       
Fergenson                 assistant                120000                       
Furman                    supervisor               500000                       
Gibbs                     manager                  600000                       
Higginbottom              manager                  600000                       
Johnston                  assistant                120000                       
Keenan                    secretary                800000                       
Kohnke                    assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lipsky                    manager                  600000                       
Mack                      assistant                120000                       
Mayekar                   director                 100000                       
McLaughlin                assistant                120000                       
Millett                   director                 100000                       
Odintz                    manager                  600000                       
Vale                      director                 100000                       
Wong                      assistant                120000                       
Psaki                     secretary                800000                       
Roche                     secretary                800000                       
Rouse                     assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Seymour                   director                 100000                       
Shaw                      manager                  600000                       
Showers                   director                 100000                       
Sirbu                     advisor                  130000                       
Adams                     manager                  600000                       
Alley                     director                 100000                       
Barnes                    supervisor               500000                       
Bedingfield               supervisor               500000                       
Cobbina                   advisor                  130000                       
Dalheim                   supervisor               500000                       
Escobar                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Gaspard                   manager                  600000                       
Jawando                   assistant                120000                       
Konwinski                 assistant                120000                       
Limon                     manager                  600000                       
Loeb                      supervisor               500000                       
Messina                   director                 100000                       
Newell                    manager                  600000                       
Noel                      assistant                120000                       
Page                      secretary                800000                       
Vanderslice               manager                  600000                       
White                     secretary                800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Quinn                     supervisor               500000                       
Raizk                     director                 100000                       
Sahgal                    manager                  600000                       
Schafer                   manager                  600000                       
Sibley                    supervisor               500000                       
Swanson                   secretary                800000                       
Tchen                     director                 100000                       
Bauer                     assistant                120000                       
Bhowmik                   manager                  600000                       
Buffett                   manager                  600000                       
Cherlin                   manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Colvin                    director                 100000                       
Cuellar                   advisor                  130000                       
Dillon                    director                 100000                       
Fernandez                 manager                  600000                       
Frye                      manager                  600000                       
Graham                    director                 100000                       
Hopkins                   director                 100000                       
Johnson                   manager                  600000                       
Larus                     manager                  600000                       
Mackey                    manager                  600000                       
McGuire                   supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Mueller                   advisor                  130000                       
Onek                      supervisor               500000                       
Parker                    advisor                  130000                       
Phillips, III             manager                  600000                       
Watson                    secretary                800000                       
Pojman                    advisor                  130000                       
Rodriguez                 advisor                  130000                       
Asen                      advisor                  130000                       
Browner                   secretary                800000                       
Cardwell                  supervisor               500000                       
Chiodo                    assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Crowley                   supervisor               500000                       
Devine                    director                 100000                       
Edmonds                   advisor                  130000                       
Espinel                   secretary                800000                       
Gillette                  supervisor               500000                       
Grant                     manager                  600000                       
Harper                    assistant                120000                       
Hurwitz                   assistant                120000                       
Kammerer                  manager                  600000                       
Kommareddi                advisor                  130000                       
Lerner                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lippert                   supervisor               500000                       
Martin                    secretary                800000                       
Mattson                   advisor                  130000                       
Milakofsky                supervisor               500000                       
Muntz                     director                 100000                       
Thomas                    supervisor               500000                       
Portilla                  director                 100000                       
Roach                     advisor                  130000                       
Samuels                   manager                  600000                       
Simas                     supervisor               500000                       
Spencer                   supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Becnel                    secretary                800000                       
Birdsall                  supervisor               500000                       
Brewer                    manager                  600000                       
Campos                    manager                  600000                       
Claude                    supervisor               500000                       
Davis                     secretary                800000                       
Edwards                   director                 100000                       
Faulman                   director                 100000                       
Hernandez                 advisor                  130000                       
Hogan                     assistant                120000                       
Krass                     supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Leitner-Laserna           director                 100000                       
Liegel                    secretary                800000                       
Lu                        supervisor               500000                       
Narechania                advisor                  130000                       
Trainor                   supervisor               500000                       
Turk                      manager                  600000                       
Vogel                     supervisor               500000                       
Pulliam                   manager                  600000                       
Schuker                   supervisor               500000                       
Stickel                   assistant                120000                       
Sweeney                   manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Albino                    advisor                  130000                       
Baldassaro                manager                  600000                       
Chambers                  director                 100000                       
Cuba                      manager                  600000                       
DeGuzman                  advisor                  130000                       
Fenn                      advisor                  130000                       
Fitts                     supervisor               500000                       
Gage                      supervisor               500000                       
Gray                      supervisor               500000                       
Harris                    supervisor               500000                       
Jabbour                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jarrett                   director                 100000                       
Kalbaugh                  supervisor               500000                       
Levine                    supervisor               500000                       
Maska                     supervisor               500000                       
Metcalf                   supervisor               500000                       
Paige                     manager                  600000                       
Pfeiffer                  assistant                120000                       
Tennison                  supervisor               500000                       
Tucker                    assistant                120000                       
Young                     director                 100000                       
Pourmorad                 director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Robertson                 manager                  600000                       
Sanders                   secretary                800000                       
Shah                      supervisor               500000                       
Strautmanis               assistant                120000                       
Bressler                  secretary                800000                       
De Sio, Jr.               assistant                120000                       
Dyer                      secretary                800000                       
Firestone                 assistant                120000                       
Gavin, Jr.                assistant                120000                       
Hurley                    supervisor               500000                       
Kim                       manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lee                       director                 100000                       
Leger                     assistant                120000                       
Lorjuste                  manager                  600000                       
McNeal                    manager                  600000                       
Nathan                    manager                  600000                       
Ocampo                    manager                  600000                       
Olson                     supervisor               500000                       
Pate                      secretary                800000                       
Tubman                    assistant                120000                       
Vietor                    manager                  600000                       
Witt                      assistant                120000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Reeves                    secretary                800000                       
Saunders                  supervisor               500000                       
Tate-Gilmore              supervisor               500000                       
Axelrod                   supervisor               500000                       
Beverly                   assistant                120000                       
Camu??ez                  assistant                120000                       
Chhabra                   director                 100000                       
DeGuzman, Jr.             supervisor               500000                       
Droege                    advisor                  130000                       
Flatgard                  secretary                800000                       
Goodman                   manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jarvis                    secretary                800000                       
Jung                      director                 100000                       
Kocher                    director                 100000                       
Lechtenberg               secretary                800000                       
Lipton                    advisor                  130000                       
Mehrbani                  assistant                120000                       
Nabors                    director                 100000                       
Northern                  assistant                120000                       
Verrilli                  director                 100000                       
Winter                    secretary                800000                       
Roddick                   manager                  600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Smith                     supervisor               500000                       
Stoneman                  assistant                120000                       
Taggart, Jr.              director                 100000                       
Baskerville, Jr.          manager                  600000                       
Bookey-Baker              supervisor               500000                       
Campbell                  manager                  600000                       
Dale                      supervisor               500000                       
Finkenbinder              assistant                120000                       
Gottlieb                  supervisor               500000                       
Hitchcock                 director                 100000                       
Kang                      advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kiley                     assistant                120000                       
Lehrich                   supervisor               500000                       
Luck                      director                 100000                       
Mastromonaco              supervisor               500000                       
Nguyen                    director                 100000                       
Tseggai                   director                 100000                       
Weiser                    secretary                800000                       
Williams                  assistant                120000                       
Cutter                    assistant                120000                       
Gardaphe                  secretary                800000                       
Rittner                   supervisor               500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Fiscus                    supervisor               500000                       
Douglas                   assistant                120000                       
Campoverdi                supervisor               500000                       
Hable                     director                 100000                       

433 rows selected.

SQL> Select * from EmpStatsl
  2  ;
Select * from EmpStatsl
              *
ERROR at line 1:
ORA-00942: table or view does not exist 


SQL> Select * from EmpStats;

TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      35 07-MAY-18                                       
director                     88 07-MAY-18                                       
assistant                    77 07-MAY-18                                       
manager                      93 07-MAY-18                                       
supervisor                   91 07-MAY-18                                       
secretary                    49 07-MAY-18                                       

6 rows selected.

SQL> exec countchange_trig;
BEGIN countchange_trig; END;

      *
ERROR at line 1:
ORA-06550: line 1, column 7: 
PLS-00201: identifier 'COUNTCHANGE_TRIG' must be declared 
ORA-06550: line 1, column 7: 
PL/SQL: Statement ignored 


SQL> exec countchange_trig
BEGIN countchange_trig; END;

      *
ERROR at line 1:
ORA-06550: line 1, column 7: 
PLS-00201: identifier 'COUNTCHANGE_TRIG' must be declared 
ORA-06550: line 1, column 7: 
PL/SQL: Statement ignored 


SQL> spool off
